Cohort,Model,Raw,Sham,Aperiodic,Flattened,Drop
Unmatched,EEGNet,"0.804 [0.765, 0.843]","0.804 [0.765, 0.843]","0.578 [0.491, 0.658]","0.707 [0.655, 0.758]","0.097 [0.050, 0.144]"
Age/sex matched,EEGNet,"0.740 [0.688, 0.789]","0.740 [0.688, 0.789]","0.587 [0.499, 0.671]","0.653 [0.582, 0.720]","0.087 [0.012, 0.156]"
Unmatched,ShallowFBCSPNet,"0.796 [0.755, 0.836]","0.796 [0.755, 0.836]","0.575 [0.511, 0.639]","0.727 [0.676, 0.774]","0.070 [0.020, 0.119]"
Age/sex matched,ShallowFBCSPNet,"0.758 [0.708, 0.807]","0.758 [0.708, 0.807]","0.602 [0.537, 0.665]","0.676 [0.614, 0.736]","0.082 [0.019, 0.145]"
Unmatched,Deep4Net,"0.816 [0.777, 0.854]","0.816 [0.777, 0.854]","0.574 [0.512, 0.635]","0.687 [0.633, 0.739]","0.129 [0.075, 0.184]"
Age/sex matched,Deep4Net,"0.764 [0.714, 0.811]","0.763 [0.714, 0.811]","0.655 [0.582, 0.723]","0.550 [0.459, 0.640]","0.213 [0.117, 0.302]"
