domain,cohort,task,model,train_input,test_or_condition,metric,estimate,point,ci_lower,ci_upper,formatted_95ci,n_subjects,n_seeds,n_bootstrap,source_file
Sleep-EDF,reviewer-resistance controls,wake_vs_sleep,raw_cnn_sham,,drop_aperiodic,macro_f1,drop_aperiodic,0.046185,0.032571,0.061040,"0.046 [0.033, 0.061]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,wake_vs_sleep,raw_cnn_sham,,drop_flattened,macro_f1,drop_flattened,0.680637,0.657464,0.701671,"0.681 [0.657, 0.702]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,wake_vs_sleep,raw_cnn_sham,,baseline,accuracy,baseline,0.947353,0.939683,0.954229,"0.947 [0.940, 0.954]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,wake_vs_sleep,raw_cnn_sham,,sham,accuracy,sham,0.947353,0.939683,0.954229,"0.947 [0.940, 0.954]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,wake_vs_sleep,raw_cnn_sham,,aperiodic,accuracy,aperiodic,0.919201,0.906912,0.930402,"0.919 [0.907, 0.930]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,wake_vs_sleep,raw_cnn_sham,,flattened,accuracy,flattened,0.321897,0.292753,0.352938,"0.322 [0.293, 0.353]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,wake_vs_sleep,raw_cnn_sham,,retention_sham,accuracy,retention_sham,1.000000,1.000000,1.000000,"1.000 [1.000, 1.000]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,wake_vs_sleep,raw_cnn_sham,,retention_aperiodic,accuracy,retention_aperiodic,0.970284,0.960471,0.979398,"0.970 [0.960, 0.979]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,wake_vs_sleep,raw_cnn_sham,,retention_flattened,accuracy,retention_flattened,0.339786,0.308655,0.372856,"0.340 [0.309, 0.373]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,wake_vs_sleep,raw_cnn_sham,,drop_sham,accuracy,drop_sham,0.000000,0.000000,0.000000,"0.000 [0.000, 0.000]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,wake_vs_sleep,raw_cnn_sham,,drop_aperiodic,accuracy,drop_aperiodic,0.028152,0.019464,0.037409,"0.028 [0.019, 0.037]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,wake_vs_sleep,raw_cnn_sham,,drop_flattened,accuracy,drop_flattened,0.625456,0.592970,0.656373,"0.625 [0.593, 0.656]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,n2_vs_n3,raw_cnn_sham,,baseline,balanced_accuracy,baseline,0.877178,0.851700,0.900845,"0.877 [0.852, 0.901]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,n2_vs_n3,raw_cnn_sham,,sham,balanced_accuracy,sham,0.877178,0.851700,0.900845,"0.877 [0.852, 0.901]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,n2_vs_n3,raw_cnn_sham,,aperiodic,balanced_accuracy,aperiodic,0.872915,0.854343,0.890179,"0.873 [0.854, 0.890]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,n2_vs_n3,raw_cnn_sham,,flattened,balanced_accuracy,flattened,0.874695,0.858185,0.890751,"0.875 [0.858, 0.891]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,n2_vs_n3,raw_cnn_sham,,retention_sham,balanced_accuracy,retention_sham,1.000000,1.000000,1.000000,"1.000 [1.000, 1.000]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,n2_vs_n3,raw_cnn_sham,,retention_aperiodic,balanced_accuracy,retention_aperiodic,0.995140,0.972218,1.021040,"0.995 [0.972, 1.021]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,n2_vs_n3,raw_cnn_sham,,retention_flattened,balanced_accuracy,retention_flattened,0.997169,0.974252,1.024256,"0.997 [0.974, 1.024]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,n2_vs_n3,raw_cnn_sham,,drop_sham,balanced_accuracy,drop_sham,0.000000,0.000000,0.000000,"0.000 [0.000, 0.000]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,n2_vs_n3,raw_cnn_sham,,drop_aperiodic,balanced_accuracy,drop_aperiodic,0.004263,-0.018045,0.024768,"0.004 [-0.018, 0.025]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,n2_vs_n3,raw_cnn_sham,,drop_flattened,balanced_accuracy,drop_flattened,0.002484,-0.020712,0.023022,"0.002 [-0.021, 0.023]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,n2_vs_n3,raw_cnn_sham,,baseline,macro_f1,baseline,0.775593,0.743621,0.805893,"0.776 [0.744, 0.806]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,n2_vs_n3,raw_cnn_sham,,sham,macro_f1,sham,0.775593,0.743621,0.805893,"0.776 [0.744, 0.806]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,n2_vs_n3,raw_cnn_sham,,aperiodic,macro_f1,aperiodic,0.702796,0.674557,0.729612,"0.703 [0.675, 0.730]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,n2_vs_n3,raw_cnn_sham,,flattened,macro_f1,flattened,0.710600,0.676963,0.743458,"0.711 [0.677, 0.743]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,n2_vs_n3,raw_cnn_sham,,retention_sham,macro_f1,retention_sham,1.000000,1.000000,1.000000,"1.000 [1.000, 1.000]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,n2_vs_n3,raw_cnn_sham,,retention_aperiodic,macro_f1,retention_aperiodic,0.906140,0.885948,0.927328,"0.906 [0.886, 0.927]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,n2_vs_n3,raw_cnn_sham,,retention_flattened,macro_f1,retention_flattened,0.916202,0.890541,0.942565,"0.916 [0.891, 0.943]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,n2_vs_n3,raw_cnn_sham,,drop_sham,macro_f1,drop_sham,0.000000,0.000000,0.000000,"0.000 [0.000, 0.000]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,n2_vs_n3,raw_cnn_sham,,drop_aperiodic,macro_f1,drop_aperiodic,0.072797,0.055401,0.089462,"0.073 [0.055, 0.089]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,n2_vs_n3,raw_cnn_sham,,drop_flattened,macro_f1,drop_flattened,0.064993,0.044406,0.085108,"0.065 [0.044, 0.085]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,n2_vs_n3,raw_cnn_sham,,baseline,accuracy,baseline,0.922480,0.908752,0.935121,"0.922 [0.909, 0.935]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,n2_vs_n3,raw_cnn_sham,,sham,accuracy,sham,0.922480,0.908752,0.935121,"0.922 [0.909, 0.935]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,n2_vs_n3,raw_cnn_sham,,aperiodic,accuracy,aperiodic,0.847911,0.825189,0.870192,"0.848 [0.825, 0.870]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,n2_vs_n3,raw_cnn_sham,,flattened,accuracy,flattened,0.854024,0.827953,0.878435,"0.854 [0.828, 0.878]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,n2_vs_n3,raw_cnn_sham,,retention_sham,accuracy,retention_sham,1.000000,1.000000,1.000000,"1.000 [1.000, 1.000]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,n2_vs_n3,raw_cnn_sham,,retention_aperiodic,accuracy,retention_aperiodic,0.919165,0.904743,0.933279,"0.919 [0.905, 0.933]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,n2_vs_n3,raw_cnn_sham,,retention_flattened,accuracy,retention_flattened,0.925791,0.904071,0.945459,"0.926 [0.904, 0.945]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,n2_vs_n3,raw_cnn_sham,,drop_sham,accuracy,drop_sham,0.000000,0.000000,0.000000,"0.000 [0.000, 0.000]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,n2_vs_n3,raw_cnn_sham,,drop_aperiodic,accuracy,drop_aperiodic,0.074569,0.061956,0.087201,"0.075 [0.062, 0.087]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,n2_vs_n3,raw_cnn_sham,,drop_flattened,accuracy,drop_flattened,0.068456,0.050452,0.088032,"0.068 [0.050, 0.088]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,five_stage,raw_cnn_sham,,baseline,balanced_accuracy,baseline,0.736042,0.717529,0.753029,"0.736 [0.718, 0.753]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,five_stage,raw_cnn_sham,,sham,balanced_accuracy,sham,0.736045,0.717536,0.753032,"0.736 [0.718, 0.753]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,five_stage,raw_cnn_sham,,aperiodic,balanced_accuracy,aperiodic,0.647538,0.627808,0.665562,"0.648 [0.628, 0.666]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,five_stage,raw_cnn_sham,,flattened,balanced_accuracy,flattened,0.280713,0.258985,0.302584,"0.281 [0.259, 0.303]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,five_stage,raw_cnn_sham,,retention_sham,balanced_accuracy,retention_sham,1.000004,0.999995,1.000025,"1.000 [1.000, 1.000]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,five_stage,raw_cnn_sham,,retention_aperiodic,balanced_accuracy,retention_aperiodic,0.879757,0.862369,0.897198,"0.880 [0.862, 0.897]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,five_stage,raw_cnn_sham,,retention_flattened,balanced_accuracy,retention_flattened,0.381382,0.350256,0.412196,"0.381 [0.350, 0.412]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,five_stage,raw_cnn_sham,,drop_sham,balanced_accuracy,drop_sham,-0.000003,-0.000019,0.000004,"-0.000 [-0.000, 0.000]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,five_stage,raw_cnn_sham,,drop_aperiodic,balanced_accuracy,drop_aperiodic,0.088504,0.075135,0.101682,"0.089 [0.075, 0.102]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,five_stage,raw_cnn_sham,,drop_flattened,balanced_accuracy,drop_flattened,0.455329,0.427455,0.483509,"0.455 [0.427, 0.484]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,five_stage,raw_cnn_sham,,baseline,macro_f1,baseline,0.670799,0.647548,0.692440,"0.671 [0.648, 0.692]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,five_stage,raw_cnn_sham,,sham,macro_f1,sham,0.670803,0.647554,0.692453,"0.671 [0.648, 0.692]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,five_stage,raw_cnn_sham,,aperiodic,macro_f1,aperiodic,0.558530,0.534496,0.580974,"0.559 [0.534, 0.581]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,five_stage,raw_cnn_sham,,flattened,macro_f1,flattened,0.183078,0.159917,0.205079,"0.183 [0.160, 0.205]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,five_stage,raw_cnn_sham,,retention_sham,macro_f1,retention_sham,1.000006,0.999992,1.000028,"1.000 [1.000, 1.000]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,five_stage,raw_cnn_sham,,retention_aperiodic,macro_f1,retention_aperiodic,0.832633,0.814342,0.850515,"0.833 [0.814, 0.851]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,five_stage,raw_cnn_sham,,retention_flattened,macro_f1,retention_flattened,0.272924,0.236782,0.306295,"0.273 [0.237, 0.306]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,five_stage,raw_cnn_sham,,drop_sham,macro_f1,drop_sham,-0.000004,-0.000019,0.000005,"-0.000 [-0.000, 0.000]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,five_stage,raw_cnn_sham,,drop_aperiodic,macro_f1,drop_aperiodic,0.112270,0.100130,0.124730,"0.112 [0.100, 0.125]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,five_stage,raw_cnn_sham,,drop_flattened,macro_f1,drop_flattened,0.487722,0.456625,0.520436,"0.488 [0.457, 0.520]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,five_stage,raw_cnn_sham,,baseline,accuracy,baseline,0.750198,0.728372,0.770636,"0.750 [0.728, 0.771]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,five_stage,raw_cnn_sham,,sham,accuracy,sham,0.750199,0.728373,0.770639,"0.750 [0.728, 0.771]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,five_stage,raw_cnn_sham,,aperiodic,accuracy,aperiodic,0.645154,0.618221,0.670886,"0.645 [0.618, 0.671]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,five_stage,raw_cnn_sham,,flattened,accuracy,flattened,0.346510,0.315879,0.376748,"0.347 [0.316, 0.377]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,five_stage,raw_cnn_sham,,retention_sham,accuracy,retention_sham,1.000001,0.999992,1.000014,"1.000 [1.000, 1.000]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,five_stage,raw_cnn_sham,,retention_aperiodic,accuracy,retention_aperiodic,0.859978,0.839814,0.879974,"0.860 [0.840, 0.880]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,five_stage,raw_cnn_sham,,retention_flattened,accuracy,retention_flattened,0.461892,0.419753,0.503322,"0.462 [0.420, 0.503]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,five_stage,raw_cnn_sham,,drop_sham,accuracy,drop_sham,-0.000001,-0.000011,0.000006,"-0.000 [-0.000, 0.000]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,five_stage,raw_cnn_sham,,drop_aperiodic,accuracy,drop_aperiodic,0.105044,0.090345,0.119866,"0.105 [0.090, 0.120]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,five_stage,raw_cnn_sham,,drop_flattened,accuracy,drop_flattened,0.403688,0.368222,0.440824,"0.404 [0.368, 0.441]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,wake_vs_sleep,braindecode_eegnet,,baseline,balanced_accuracy,baseline,0.939313,0.929493,0.948037,"0.939 [0.929, 0.948]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,wake_vs_sleep,braindecode_eegnet,,sham,balanced_accuracy,sham,0.939313,0.929493,0.948037,"0.939 [0.929, 0.948]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,wake_vs_sleep,braindecode_eegnet,,aperiodic,balanced_accuracy,aperiodic,0.878815,0.859795,0.896932,"0.879 [0.860, 0.897]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,wake_vs_sleep,braindecode_eegnet,,flattened,balanced_accuracy,flattened,0.502290,0.500390,0.505064,"0.502 [0.500, 0.505]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,wake_vs_sleep,braindecode_eegnet,,retention_sham,balanced_accuracy,retention_sham,1.000000,1.000000,1.000000,"1.000 [1.000, 1.000]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,wake_vs_sleep,braindecode_eegnet,,retention_aperiodic,balanced_accuracy,retention_aperiodic,0.935593,0.919647,0.950653,"0.936 [0.920, 0.951]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,wake_vs_sleep,braindecode_eegnet,,retention_flattened,balanced_accuracy,retention_flattened,0.534742,0.529380,0.540653,"0.535 [0.529, 0.541]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,wake_vs_sleep,braindecode_eegnet,,drop_sham,balanced_accuracy,drop_sham,0.000000,0.000000,0.000000,"0.000 [0.000, 0.000]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,wake_vs_sleep,braindecode_eegnet,,drop_aperiodic,balanced_accuracy,drop_aperiodic,0.060498,0.046416,0.075355,"0.060 [0.046, 0.075]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,wake_vs_sleep,braindecode_eegnet,,drop_flattened,balanced_accuracy,drop_flattened,0.437023,0.427418,0.445973,"0.437 [0.427, 0.446]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,wake_vs_sleep,braindecode_eegnet,,baseline,macro_f1,baseline,0.930388,0.918927,0.940107,"0.930 [0.919, 0.940]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,wake_vs_sleep,braindecode_eegnet,,sham,macro_f1,sham,0.930388,0.918927,0.940107,"0.930 [0.919, 0.940]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,wake_vs_sleep,braindecode_eegnet,,aperiodic,macro_f1,aperiodic,0.886600,0.865523,0.905045,"0.887 [0.866, 0.905]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,wake_vs_sleep,braindecode_eegnet,,flattened,macro_f1,flattened,0.230398,0.213777,0.247088,"0.230 [0.214, 0.247]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,wake_vs_sleep,braindecode_eegnet,,retention_sham,macro_f1,retention_sham,1.000000,1.000000,1.000000,"1.000 [1.000, 1.000]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,wake_vs_sleep,braindecode_eegnet,,retention_aperiodic,macro_f1,retention_aperiodic,0.952935,0.936146,0.967713,"0.953 [0.936, 0.968]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,wake_vs_sleep,braindecode_eegnet,,retention_flattened,macro_f1,retention_flattened,0.247637,0.230063,0.265382,"0.248 [0.230, 0.265]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,wake_vs_sleep,braindecode_eegnet,,drop_sham,macro_f1,drop_sham,0.000000,0.000000,0.000000,"0.000 [0.000, 0.000]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,wake_vs_sleep,braindecode_eegnet,,drop_aperiodic,macro_f1,drop_aperiodic,0.043789,0.030113,0.059212,"0.044 [0.030, 0.059]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,wake_vs_sleep,braindecode_eegnet,,drop_flattened,macro_f1,drop_flattened,0.699990,0.681439,0.717905,"0.700 [0.681, 0.718]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,wake_vs_sleep,braindecode_eegnet,,baseline,accuracy,baseline,0.945700,0.936020,0.954033,"0.946 [0.936, 0.954]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,wake_vs_sleep,braindecode_eegnet,,sham,accuracy,sham,0.945700,0.936020,0.954033,"0.946 [0.936, 0.954]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,wake_vs_sleep,braindecode_eegnet,,aperiodic,accuracy,aperiodic,0.916873,0.899582,0.931416,"0.917 [0.900, 0.931]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,wake_vs_sleep,braindecode_eegnet,,flattened,accuracy,flattened,0.307564,0.277848,0.337137,"0.308 [0.278, 0.337]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,wake_vs_sleep,braindecode_eegnet,,retention_sham,accuracy,retention_sham,1.000000,1.000000,1.000000,"1.000 [1.000, 1.000]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,wake_vs_sleep,braindecode_eegnet,,retention_aperiodic,accuracy,retention_aperiodic,0.969518,0.957288,0.980318,"0.970 [0.957, 0.980]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,wake_vs_sleep,braindecode_eegnet,,retention_flattened,accuracy,retention_flattened,0.325223,0.293710,0.357074,"0.325 [0.294, 0.357]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,wake_vs_sleep,braindecode_eegnet,,drop_sham,accuracy,drop_sham,0.000000,0.000000,0.000000,"0.000 [0.000, 0.000]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,wake_vs_sleep,braindecode_eegnet,,drop_aperiodic,accuracy,drop_aperiodic,0.028827,0.018632,0.040233,"0.029 [0.019, 0.040]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,wake_vs_sleep,braindecode_eegnet,,drop_flattened,accuracy,drop_flattened,0.638136,0.606409,0.669573,"0.638 [0.606, 0.670]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,n2_vs_n3,braindecode_eegnet,,baseline,balanced_accuracy,baseline,0.880534,0.854043,0.903448,"0.881 [0.854, 0.903]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,n2_vs_n3,braindecode_eegnet,,sham,balanced_accuracy,sham,0.880534,0.854043,0.903448,"0.881 [0.854, 0.903]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,n2_vs_n3,braindecode_eegnet,,aperiodic,balanced_accuracy,aperiodic,0.863321,0.844157,0.881326,"0.863 [0.844, 0.881]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,n2_vs_n3,braindecode_eegnet,,flattened,balanced_accuracy,flattened,0.881857,0.866506,0.896527,"0.882 [0.867, 0.897]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,n2_vs_n3,braindecode_eegnet,,retention_sham,balanced_accuracy,retention_sham,1.000000,1.000000,1.000000,"1.000 [1.000, 1.000]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,n2_vs_n3,braindecode_eegnet,,retention_aperiodic,balanced_accuracy,retention_aperiodic,0.980451,0.955521,1.009575,"0.980 [0.956, 1.010]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
Sleep-EDF,reviewer-resistance controls,n2_vs_n3,braindecode_eegnet,,retention_flattened,balanced_accuracy,retention_flattened,1.001502,0.978606,1.028356,"1.002 [0.979, 1.028]",78,3,10000,reports/tables/sleep_edf_reviewer_resistance_bootstrap.csv
