domain,cohort,task,model,train_input,test_or_condition,metric,estimate,point,ci_lower,ci_upper,formatted_95ci,n_subjects,n_seeds,n_bootstrap,source_file
Sleep-EDF,full 78-subject cohort,n2_vs_n3,deep_mlp,,retention_aperiodic,balanced_accuracy,retention_aperiodic,0.896980,0.870893,0.921557,"0.897 [0.871, 0.922]",78,3,10000,reports/tables/full_sleep_edf_multiseed_subject_bootstrap.csv
Sleep-EDF,full 78-subject cohort,n2_vs_n3,deep_mlp,,retention_flattened,balanced_accuracy,retention_flattened,0.562206,0.513506,0.607063,"0.562 [0.514, 0.607]",78,3,10000,reports/tables/full_sleep_edf_multiseed_subject_bootstrap.csv
Sleep-EDF,full 78-subject cohort,n2_vs_n3,deep_mlp,,drop_aperiodic,balanced_accuracy,drop_aperiodic,0.087593,0.066307,0.110283,"0.088 [0.066, 0.110]",78,3,10000,reports/tables/full_sleep_edf_multiseed_subject_bootstrap.csv
Sleep-EDF,full 78-subject cohort,n2_vs_n3,deep_mlp,,drop_flattened,balanced_accuracy,drop_flattened,0.372238,0.326948,0.420136,"0.372 [0.327, 0.420]",78,3,10000,reports/tables/full_sleep_edf_multiseed_subject_bootstrap.csv
Sleep-EDF,full 78-subject cohort,n2_vs_n3,deep_mlp,,baseline,macro_f1,baseline,0.734065,0.701896,0.765020,"0.734 [0.702, 0.765]",78,3,10000,reports/tables/full_sleep_edf_multiseed_subject_bootstrap.csv
Sleep-EDF,full 78-subject cohort,n2_vs_n3,deep_mlp,,aperiodic,macro_f1,aperiodic,0.625113,0.597922,0.652096,"0.625 [0.598, 0.652]",78,3,10000,reports/tables/full_sleep_edf_multiseed_subject_bootstrap.csv
Sleep-EDF,full 78-subject cohort,n2_vs_n3,deep_mlp,,flattened,macro_f1,flattened,0.155902,0.116995,0.198928,"0.156 [0.117, 0.199]",78,3,10000,reports/tables/full_sleep_edf_multiseed_subject_bootstrap.csv
Sleep-EDF,full 78-subject cohort,n2_vs_n3,deep_mlp,,retention_aperiodic,macro_f1,retention_aperiodic,0.851577,0.821812,0.880333,"0.852 [0.822, 0.880]",78,3,10000,reports/tables/full_sleep_edf_multiseed_subject_bootstrap.csv
Sleep-EDF,full 78-subject cohort,n2_vs_n3,deep_mlp,,retention_flattened,macro_f1,retention_flattened,0.212382,0.162691,0.267857,"0.212 [0.163, 0.268]",78,3,10000,reports/tables/full_sleep_edf_multiseed_subject_bootstrap.csv
Sleep-EDF,full 78-subject cohort,n2_vs_n3,deep_mlp,,drop_aperiodic,macro_f1,drop_aperiodic,0.108952,0.085832,0.133656,"0.109 [0.086, 0.134]",78,3,10000,reports/tables/full_sleep_edf_multiseed_subject_bootstrap.csv
Sleep-EDF,full 78-subject cohort,n2_vs_n3,deep_mlp,,drop_flattened,macro_f1,drop_flattened,0.578163,0.535576,0.615081,"0.578 [0.536, 0.615]",78,3,10000,reports/tables/full_sleep_edf_multiseed_subject_bootstrap.csv
Sleep-EDF,full 78-subject cohort,n2_vs_n3,deep_mlp,,baseline,accuracy,baseline,0.893470,0.878057,0.908499,"0.893 [0.878, 0.908]",78,3,10000,reports/tables/full_sleep_edf_multiseed_subject_bootstrap.csv
Sleep-EDF,full 78-subject cohort,n2_vs_n3,deep_mlp,,aperiodic,accuracy,aperiodic,0.802157,0.769476,0.833389,"0.802 [0.769, 0.833]",78,3,10000,reports/tables/full_sleep_edf_multiseed_subject_bootstrap.csv
Sleep-EDF,full 78-subject cohort,n2_vs_n3,deep_mlp,,flattened,accuracy,flattened,0.193676,0.144441,0.250789,"0.194 [0.144, 0.251]",78,3,10000,reports/tables/full_sleep_edf_multiseed_subject_bootstrap.csv
Sleep-EDF,full 78-subject cohort,n2_vs_n3,deep_mlp,,retention_aperiodic,accuracy,retention_aperiodic,0.897800,0.866231,0.926635,"0.898 [0.866, 0.927]",78,3,10000,reports/tables/full_sleep_edf_multiseed_subject_bootstrap.csv
Sleep-EDF,full 78-subject cohort,n2_vs_n3,deep_mlp,,retention_flattened,accuracy,retention_flattened,0.216768,0.160677,0.282294,"0.217 [0.161, 0.282]",78,3,10000,reports/tables/full_sleep_edf_multiseed_subject_bootstrap.csv
Sleep-EDF,full 78-subject cohort,n2_vs_n3,deep_mlp,,drop_aperiodic,accuracy,drop_aperiodic,0.091312,0.065473,0.119482,"0.091 [0.065, 0.119]",78,3,10000,reports/tables/full_sleep_edf_multiseed_subject_bootstrap.csv
Sleep-EDF,full 78-subject cohort,n2_vs_n3,deep_mlp,,drop_flattened,accuracy,drop_flattened,0.699794,0.637105,0.756413,"0.700 [0.637, 0.756]",78,3,10000,reports/tables/full_sleep_edf_multiseed_subject_bootstrap.csv
Sleep-EDF,full 78-subject cohort,five_stage,deep_mlp,,baseline,balanced_accuracy,baseline,0.693374,0.674127,0.711473,"0.693 [0.674, 0.711]",78,3,10000,reports/tables/full_sleep_edf_multiseed_subject_bootstrap.csv
