task,train_input,test_input,metric,estimate,point,ci_lower,ci_upper,formatted_95ci,n_subjects,n_bootstrap
wake_vs_sleep,full_log_psd,flattened_log_psd,accuracy,drop::flattened_log_psd,0.709756,0.678081,0.741361,"0.710 [0.678, 0.741]",78,10000
wake_vs_sleep,full_log_psd,flattened_log_psd,accuracy,retention::flattened_log_psd,0.213521,0.184157,0.244553,"0.214 [0.184, 0.245]",78,10000
n2_vs_n3,full_log_psd,aperiodic_spectrum,balanced_accuracy,drop::aperiodic_spectrum,-0.017217,-0.030511,-0.004531,"-0.017 [-0.031, -0.005]",78,10000
n2_vs_n3,full_log_psd,aperiodic_spectrum,balanced_accuracy,retention::aperiodic_spectrum,1.024349,1.008288,1.041646,"1.024 [1.008, 1.042]",78,10000
n2_vs_n3,full_log_psd,aperiodic_spectrum,macro_f1,drop::aperiodic_spectrum,-0.019503,-0.032281,-0.007176,"-0.020 [-0.032, -0.007]",78,10000
n2_vs_n3,full_log_psd,aperiodic_spectrum,macro_f1,retention::aperiodic_spectrum,1.028174,1.011581,1.045506,"1.028 [1.012, 1.046]",78,10000
n2_vs_n3,full_log_psd,aperiodic_spectrum,accuracy,drop::aperiodic_spectrum,-0.015595,-0.026686,-0.004872,"-0.016 [-0.027, -0.005]",78,10000
n2_vs_n3,full_log_psd,aperiodic_spectrum,accuracy,retention::aperiodic_spectrum,1.020695,1.008224,1.034112,"1.021 [1.008, 1.034]",78,10000
n2_vs_n3,full_log_psd,flattened_log_psd,balanced_accuracy,drop::flattened_log_psd,0.425309,0.370627,0.484836,"0.425 [0.371, 0.485]",78,10000
n2_vs_n3,full_log_psd,flattened_log_psd,balanced_accuracy,retention::flattened_log_psd,0.521957,0.464620,0.577590,"0.522 [0.465, 0.578]",78,10000
n2_vs_n3,full_log_psd,flattened_log_psd,macro_f1,drop::flattened_log_psd,0.489576,0.462416,0.516564,"0.490 [0.462, 0.517]",78,10000
n2_vs_n3,full_log_psd,flattened_log_psd,macro_f1,retention::flattened_log_psd,0.320756,0.277183,0.364002,"0.321 [0.277, 0.364]",78,10000
n2_vs_n3,full_log_psd,flattened_log_psd,accuracy,drop::flattened_log_psd,0.459331,0.392152,0.526621,"0.459 [0.392, 0.527]",78,10000
n2_vs_n3,full_log_psd,flattened_log_psd,accuracy,retention::flattened_log_psd,0.477637,0.405533,0.551339,"0.478 [0.406, 0.551]",78,10000
five_stage,full_log_psd,aperiodic_spectrum,balanced_accuracy,drop::aperiodic_spectrum,0.002462,-0.010463,0.015067,"0.002 [-0.010, 0.015]",78,10000
five_stage,full_log_psd,aperiodic_spectrum,balanced_accuracy,retention::aperiodic_spectrum,1.002238,0.977061,1.032118,"1.002 [0.977, 1.032]",78,10000
five_stage,full_log_psd,aperiodic_spectrum,macro_f1,drop::aperiodic_spectrum,0.002434,-0.010543,0.015164,"0.002 [-0.011, 0.015]",78,10000
five_stage,full_log_psd,aperiodic_spectrum,macro_f1,retention::aperiodic_spectrum,1.000925,0.975984,1.027832,"1.001 [0.976, 1.028]",78,10000
five_stage,full_log_psd,aperiodic_spectrum,accuracy,drop::aperiodic_spectrum,0.000501,-0.011325,0.011967,"0.001 [-0.011, 0.012]",78,10000
five_stage,full_log_psd,aperiodic_spectrum,accuracy,retention::aperiodic_spectrum,0.999421,0.979935,1.019155,"0.999 [0.980, 1.019]",78,10000
five_stage,full_log_psd,flattened_log_psd,balanced_accuracy,drop::flattened_log_psd,0.404487,0.381548,0.427510,"0.404 [0.382, 0.428]",78,10000
five_stage,full_log_psd,flattened_log_psd,balanced_accuracy,retention::flattened_log_psd,0.353729,0.336669,0.372936,"0.354 [0.337, 0.373]",78,10000
five_stage,full_log_psd,flattened_log_psd,macro_f1,drop::flattened_log_psd,0.497263,0.469477,0.524422,"0.497 [0.469, 0.524]",78,10000
five_stage,full_log_psd,flattened_log_psd,macro_f1,retention::flattened_log_psd,0.117365,0.101365,0.134105,"0.117 [0.101, 0.134]",78,10000
five_stage,full_log_psd,flattened_log_psd,accuracy,drop::flattened_log_psd,0.454956,0.417044,0.492672,"0.455 [0.417, 0.493]",78,10000
five_stage,full_log_psd,flattened_log_psd,accuracy,retention::flattened_log_psd,0.307105,0.263932,0.349836,"0.307 [0.264, 0.350]",78,10000
