test_input,statistic,mean,std,median,p05,p95
raw_eeg,mean,-1.3703636235338395e-09,1.2020089363188958e-07,0.0,-1.9073486612342094e-07,1.7916361585434923e-07
raw_eeg,std,13.120914330531377,7.2270590331586595,11.056920528411865,5.528985810279846,28.0194450378418
raw_eeg,rms,13.12091432933812,7.227059031890331,11.056920528411865,5.528985810279846,28.0194450378418
raw_eeg,peak_to_peak,102.26880122488365,45.13852185178287,95.96453094482422,42.920739364624026,188.65755386352538
raw_eeg,skew,0.06491015668691213,0.30642253359585725,0.08177947252988815,-0.4584702968597412,0.49441289454698517
raw_eeg,kurtosis,1.654595685802633,2.027132566516966,1.0069599151611328,-0.11217950582504273,5.581890010833739
raw_eeg,line_length,3.060139079578221,1.697200605233358,2.596620559692383,1.7520509123802186,5.497891044616699
raw_eeg,zero_crossing_rate,0.11794499533698732,0.057904707291284246,0.1097032344114705,0.05101700566855619,0.2115538512837612
phase_sham,mean,-9.080006900850186e-10,8.695719210081231e-08,0.0,-1.3224283179624763e-07,1.2575785959256744e-07
phase_sham,std,13.120914297323907,7.227058999296264,11.056920528411865,5.528985810279846,28.0194450378418
phase_sham,rms,13.120914297556737,7.227058999810707,11.056920528411865,5.528985810279846,28.0194450378418
phase_sham,peak_to_peak,102.26880133780651,45.138521741079195,95.96453094482422,42.92074146270752,188.65755538940428
phase_sham,skew,0.06491015788352983,0.30642253358963223,0.08177943900227547,-0.45847033709287643,0.4944128349423404
phase_sham,kurtosis,1.6545957174967043,2.027132586173341,1.0069599151611328,-0.11217950582504273,5.5818910598754865
phase_sham,line_length,3.0601390705705853,1.6972006062809224,2.596620559692383,1.7520508885383606,5.497890615463257
phase_sham,zero_crossing_rate,0.11794499533698732,0.057904707291284246,0.1097032344114705,0.05101700566855619,0.2115538512837612
phase_sham,rmse_vs_raw,1.89152849981028e-06,1.0524823209677929e-06,1.5909732837826596e-06,7.870459995729107e-07,4.040653880110767e-06
phase_sham,corr_vs_raw,0.9999999999999902,5.27862993846844e-16,0.9999999999999902,0.9999999999999895,0.9999999999999911
phase_aperiodic,mean,-1.5378852173935503e-09,1.0258841896387008e-07,0.0,-1.627604149234685e-07,1.5258788721439487e-07
phase_aperiodic,std,13.12091431990848,7.227059014061253,11.056920528411865,5.5289852857589725,28.01944398880005
phase_aperiodic,rms,13.120914319501026,7.227059012019097,11.056920528411865,5.5289852857589725,28.01944398880005
phase_aperiodic,peak_to_peak,98.77690268214792,45.52834648326982,90.71517181396484,40.98356609344482,188.2788314819336
phase_aperiodic,skew,0.04739942217868953,0.26780778434526337,0.04791034385561943,-0.36528788655996325,0.44686521887779235
phase_aperiodic,kurtosis,1.3726965595560614,1.9608182785509363,0.7527326345443726,-0.16060571670532225,4.996883082389831
