model,task,metric,estimate,point,ci_lower,ci_upper,ci,n_seeds,n_subjects,n_bootstrap,bootstrap_unit_1,bootstrap_unit_2,p_one_sided_positive,p_two_sided_zero,n_bootstrap_nonpositive,n_bootstrap_nonnegative,n_bootstrap_valid
BIOT,tuab_normal_vs_abnormal,accuracy,retention_sham,0.9970342410353195,0.9954443393161063,0.9986102029904905,0.95,3,253,10000,seed,eval_subject_stratified_by_label,0.0,0.0,0,10000,10000
BIOT,tuab_normal_vs_abnormal,accuracy,drop_aperiodic,0.13982045382776198,0.1115943132134867,0.1705246689821163,0.95,3,253,10000,seed,eval_subject_stratified_by_label,0.0,0.0,0,10000,10000
BIOT,tuab_normal_vs_abnormal,accuracy,retention_aperiodic,0.8259077019861598,0.7889659656067535,0.8596085584514792,0.95,3,253,10000,seed,eval_subject_stratified_by_label,0.0,0.0,0,10000,10000
BIOT,tuab_normal_vs_abnormal,accuracy,drop_flattened,0.09584517526052239,0.07617343930465875,0.11574097283039939,0.95,3,253,10000,seed,eval_subject_stratified_by_label,0.0,0.0,0,10000,10000
BIOT,tuab_normal_vs_abnormal,accuracy,retention_flattened,0.8806619034780264,0.856628926389544,0.904478038251082,0.95,3,253,10000,seed,eval_subject_stratified_by_label,0.0,0.0,0,10000,10000
LaBraM,tuab_normal_vs_abnormal,balanced_accuracy,baseline,0.7863026861736515,0.7631266561997823,0.8088530619958475,0.95,3,253,10000,seed,eval_subject_stratified_by_label,0.0,0.0,0,10000,10000
LaBraM,tuab_normal_vs_abnormal,balanced_accuracy,sham,0.7864218265716189,0.7630147029185593,0.8089455412153299,0.95,3,253,10000,seed,eval_subject_stratified_by_label,0.0,0.0,0,10000,10000
LaBraM,tuab_normal_vs_abnormal,balanced_accuracy,aperiodic,0.6964305391907877,0.6737910639025779,0.7222008306824945,0.95,3,253,10000,seed,eval_subject_stratified_by_label,0.0,0.0,0,10000,10000
LaBraM,tuab_normal_vs_abnormal,balanced_accuracy,flattened,0.7113789081273545,0.6830288943191593,0.739391714805631,0.95,3,253,10000,seed,eval_subject_stratified_by_label,0.0,0.0,0,10000,10000
LaBraM,tuab_normal_vs_abnormal,balanced_accuracy,drop_sham,-0.00011914039796734333,-0.0008446261467197898,0.0006586873115172751,0.95,3,253,10000,seed,eval_subject_stratified_by_label,0.6323,0.7356,6323,3678,10000
LaBraM,tuab_normal_vs_abnormal,balanced_accuracy,retention_sham,1.0001515197646687,0.9991578422411226,1.001072587415481,0.95,3,253,10000,seed,eval_subject_stratified_by_label,0.0,0.0,0,10000,10000
LaBraM,tuab_normal_vs_abnormal,balanced_accuracy,drop_aperiodic,0.08987214698286383,0.06248947589203076,0.11567318768100435,0.95,3,253,10000,seed,eval_subject_stratified_by_label,0.0,0.0,0,10000,10000
LaBraM,tuab_normal_vs_abnormal,balanced_accuracy,retention_aperiodic,0.885702861552967,0.8552431470759491,0.9194421042042765,0.95,3,253,10000,seed,eval_subject_stratified_by_label,0.0,0.0,0,10000,10000
LaBraM,tuab_normal_vs_abnormal,balanced_accuracy,drop_flattened,0.07492377804629702,0.05249305528361741,0.10012786818631665,0.95,3,253,10000,seed,eval_subject_stratified_by_label,0.0,0.0,0,10000,10000
LaBraM,tuab_normal_vs_abnormal,balanced_accuracy,retention_flattened,0.9047138215807259,0.8735154926509674,0.9329911524561969,0.95,3,253,10000,seed,eval_subject_stratified_by_label,0.0,0.0,0,10000,10000
LaBraM,tuab_normal_vs_abnormal,macro_f1,baseline,0.7860429529263722,0.7630484023377336,0.808111216604324,0.95,3,253,10000,seed,eval_subject_stratified_by_label,0.0,0.0,0,10000,10000
LaBraM,tuab_normal_vs_abnormal,macro_f1,sham,0.7861338662865,0.7629988058099488,0.8083551753842696,0.95,3,253,10000,seed,eval_subject_stratified_by_label,0.0,0.0,0,10000,10000
LaBraM,tuab_normal_vs_abnormal,macro_f1,aperiodic,0.6749403897595265,0.6434211301236452,0.7091446795528182,0.95,3,253,10000,seed,eval_subject_stratified_by_label,0.0,0.0,0,10000,10000
LaBraM,tuab_normal_vs_abnormal,macro_f1,flattened,0.7080377628394201,0.6749564764717864,0.7387381523499441,0.95,3,253,10000,seed,eval_subject_stratified_by_label,0.0,0.0,0,10000,10000
LaBraM,tuab_normal_vs_abnormal,macro_f1,drop_sham,-9.091336012778672e-05,-0.0008061562723499782,0.0007262122568467977,0.95,3,253,10000,seed,eval_subject_stratified_by_label,0.5953,0.8096,5953,4048,10000
LaBraM,tuab_normal_vs_abnormal,macro_f1,retention_sham,1.0001156595320768,0.9990759740717863,1.0010220296828838,0.95,3,253,10000,seed,eval_subject_stratified_by_label,0.0,0.0,0,10000,10000
