model,task,metric,estimate,baseline_input,aperiodic_input,flattened_input,point,ci_lower,ci_upper,ci,n_folds,n_bootstrap
linear_ridge,n2_vs_n3,macro_f1,drop_aperiodic,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.13805427177954455,0.06292406541835782,0.2080586586323332,0.95,5,10000
linear_ridge,n2_vs_n3,macro_f1,drop_flattened,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.6634428143902669,0.5749484311124102,0.7301842508242014,0.95,5,10000
linear_ridge,n2_vs_n3,accuracy,full_log_psd,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.8925181335844501,0.8544545442474313,0.9243844381523427,0.95,5,10000
linear_ridge,n2_vs_n3,accuracy,aperiodic_spectrum,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.760412665205032,0.6710483197152686,0.8528401258135603,0.95,5,10000
linear_ridge,n2_vs_n3,accuracy,flattened_log_psd,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.2575547537587993,0.17513218751601492,0.37402876115397266,0.95,5,10000
linear_ridge,n2_vs_n3,accuracy,retention_aperiodic,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.8519856757992489,0.7707320029138683,0.9371733574087991,0.95,5,10000
linear_ridge,n2_vs_n3,accuracy,retention_flattened,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.28857089180298373,0.18989465040015305,0.4406975296591239,0.95,5,10000
linear_ridge,n2_vs_n3,accuracy,drop_aperiodic,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.13210546837941806,0.057317338654572114,0.20048988411081092,0.95,5,10000
linear_ridge,n2_vs_n3,accuracy,drop_flattened,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.6349633798256508,0.47804150722608807,0.7471275346350297,0.95,5,10000
linear_ridge,five_stage,balanced_accuracy,full_log_psd,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.7096276934979944,0.6787446550296635,0.7343511542295588,0.95,5,10000
linear_ridge,five_stage,balanced_accuracy,aperiodic_spectrum,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.49902429606362075,0.48026504595162123,0.5149239464681326,0.95,5,10000
linear_ridge,five_stage,balanced_accuracy,flattened_log_psd,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.2,0.2,0.2,0.95,5,10000
linear_ridge,five_stage,balanced_accuracy,retention_aperiodic,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.703219872386549,0.6861110421140817,0.7255150422409314,0.95,5,10000
linear_ridge,five_stage,balanced_accuracy,retention_flattened,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.2818379297094967,0.27234926894045547,0.29466162056371453,0.95,5,10000
linear_ridge,five_stage,balanced_accuracy,drop_aperiodic,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.21060339743437362,0.18980889895387631,0.2290700218294075,0.95,5,10000
linear_ridge,five_stage,balanced_accuracy,drop_flattened,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.5096276934979944,0.4787446550296635,0.5343511542295587,0.95,5,10000
linear_ridge,five_stage,macro_f1,full_log_psd,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.6792172574671808,0.6501180011083081,0.7027182943531116,0.95,5,10000
linear_ridge,five_stage,macro_f1,aperiodic_spectrum,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.3169409719575236,0.284185494027706,0.3570787965959033,0.95,5,10000
linear_ridge,five_stage,macro_f1,flattened_log_psd,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.05901788295155199,0.05305782528112348,0.06748706254561283,0.95,5,10000
linear_ridge,five_stage,macro_f1,retention_aperiodic,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.4666267949954701,0.4201794030878178,0.5305367860960482,0.95,5,10000
linear_ridge,five_stage,macro_f1,retention_flattened,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.086891023899527,0.07741719135590111,0.09773991776442441,0.95,5,10000
linear_ridge,five_stage,macro_f1,drop_aperiodic,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.3622762855096572,0.31317730272487077,0.4007961543525165,0.95,5,10000
linear_ridge,five_stage,macro_f1,drop_flattened,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.6201993745156288,0.591660267026475,0.6419467448815215,0.95,5,10000
linear_ridge,five_stage,accuracy,full_log_psd,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.7268645997822734,0.6885128236311925,0.7652163759333541,0.95,5,10000
linear_ridge,five_stage,accuracy,aperiodic_spectrum,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.32149367000819035,0.2793932469677925,0.37376681300834635,0.95,5,10000
linear_ridge,five_stage,accuracy,flattened_log_psd,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.17382608792356147,0.15305298965352918,0.20387865636711097,0.95,5,10000
