model,task,metric,estimate,point,ci_lower,ci_upper,ci,n_seeds,n_subjects,n_bootstrap,bootstrap_unit_1,bootstrap_unit_2
raw_cnn,tuab_normal_vs_abnormal,macro_f1,flattened,0.3282953713812887,0.2840004002033229,0.3712303217475294,0.95,3,80,10000,seed,subject
raw_cnn,tuab_normal_vs_abnormal,macro_f1,retention_sham,1.0,1.0,1.0,0.95,3,80,10000,seed,subject
raw_cnn,tuab_normal_vs_abnormal,macro_f1,retention_aperiodic,0.9408303670060393,0.8526142858649958,1.0270454529376802,0.95,3,80,10000,seed,subject
raw_cnn,tuab_normal_vs_abnormal,macro_f1,retention_flattened,0.794724743337792,0.6980247332095334,0.8911469339434337,0.95,3,80,10000,seed,subject
raw_cnn,tuab_normal_vs_abnormal,macro_f1,drop_sham,0.0,0.0,0.0,0.95,3,80,10000,seed,subject
raw_cnn,tuab_normal_vs_abnormal,macro_f1,drop_aperiodic,0.024442571847785532,-0.010955800198403885,0.06151406878073452,0.95,3,80,10000,seed,subject
raw_cnn,tuab_normal_vs_abnormal,macro_f1,drop_flattened,0.08479780853213592,0.04397726924086851,0.1262631534133603,0.95,3,80,10000,seed,subject
raw_cnn,tuab_normal_vs_abnormal,accuracy,baseline,0.782132523836752,0.7123345101626612,0.8476020972280014,0.95,3,80,10000,seed,subject
raw_cnn,tuab_normal_vs_abnormal,accuracy,sham,0.782132523836752,0.7123345101626612,0.8476020972280014,0.95,3,80,10000,seed,subject
raw_cnn,tuab_normal_vs_abnormal,accuracy,aperiodic,0.7168827299237001,0.6270323413989809,0.7992096504709484,0.95,3,80,10000,seed,subject
raw_cnn,tuab_normal_vs_abnormal,accuracy,flattened,0.6139278941626428,0.5222880984966245,0.7055668986667337,0.95,3,80,10000,seed,subject
raw_cnn,tuab_normal_vs_abnormal,accuracy,retention_sham,1.0,1.0,1.0,0.95,3,80,10000,seed,subject
raw_cnn,tuab_normal_vs_abnormal,accuracy,retention_aperiodic,0.9165745037772256,0.8117579964332465,1.0147443502294127,0.95,3,80,10000,seed,subject
raw_cnn,tuab_normal_vs_abnormal,accuracy,retention_flattened,0.7849410112125484,0.678270759592946,0.8939254242889979,0.95,3,80,10000,seed,subject
raw_cnn,tuab_normal_vs_abnormal,accuracy,drop_sham,0.0,0.0,0.0,0.95,3,80,10000,seed,subject
raw_cnn,tuab_normal_vs_abnormal,accuracy,drop_aperiodic,0.06524979391305197,-0.011247163171102336,0.1496539022163741,0.95,3,80,10000,seed,subject
raw_cnn,tuab_normal_vs_abnormal,accuracy,drop_flattened,0.1682046296741092,0.08028636469475123,0.2560025528103765,0.95,3,80,10000,seed,subject
eegnet,tuab_normal_vs_abnormal,balanced_accuracy,baseline,0.7631319193002424,0.6882791614623917,0.8321241379766156,0.95,3,80,10000,seed,subject
eegnet,tuab_normal_vs_abnormal,balanced_accuracy,sham,0.7631319193002424,0.6882791614623917,0.8321241379766156,0.95,3,80,10000,seed,subject
eegnet,tuab_normal_vs_abnormal,balanced_accuracy,aperiodic,0.7021447240546791,0.6191532979222135,0.7762055131774486,0.95,3,80,10000,seed,subject
eegnet,tuab_normal_vs_abnormal,balanced_accuracy,flattened,0.6045955809010232,0.49322187283122676,0.7042839191594024,0.95,3,80,10000,seed,subject
eegnet,tuab_normal_vs_abnormal,balanced_accuracy,retention_sham,1.0,1.0,1.0,0.95,3,80,10000,seed,subject
eegnet,tuab_normal_vs_abnormal,balanced_accuracy,retention_aperiodic,0.9200830240445377,0.8221155005213238,1.0199010617384692,0.95,3,80,10000,seed,subject
eegnet,tuab_normal_vs_abnormal,balanced_accuracy,retention_flattened,0.7922556580458725,0.6622199495919902,0.9159392470531251,0.95,3,80,10000,seed,subject
