comparison,mean,std,median,p05,p95
aperiodic_mae_log10_power,0.19044551891068282,0.18429821429791904,0.13962841033935547,0.012700033187866222,0.552753591537475
aperiodic_bias_specparam_minus_irasa,-0.07792304809699624,0.25330484224067845,-0.03715944290161133,-0.548997163772583,0.2485514640808102
aperiodic_centered_mae_log10_power,0.1863652277418449,0.16125022038351275,0.14943552017211914,0.013896942138671875,0.48388295173645
aperiodic_shape_corr,0.9361768063724041,0.12287733933514769,0.9659217894077301,0.8122527539730072,0.9883263856172562
